trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
60,174,"[3, 5, 2]",43,CNN,a,0.0006649781156199031,0.19185227522485726,24,6,0.4808362369337979
61,170,[4],54,CNN,a,0.000304295655398616,0.2505367257773393,21,6,0.5095541401273885
62,155,[4],54,CNN,a,0.00024229391468331255,0.24946979023617682,18,6,0.49171270718232035
63,183,[5],50,CNN,a,0.0001484130466823347,0.22804410396306798,21,5,0.46991404011461313
64,167,"[3, 5]",65,CNN,a,0.0004909412729803323,0.29757410106495324,19,7,0.49076517150395776
65,178,[4],100,CNN,a,0.00033875941657027497,0.1675313648520991,15,5,0.5
66,149,[3],59,CNN,a,0.00023114285704523187,0.20953491767874663,23,8,0.4918032786885246
67,106,"[5, 7]",55,CNN,a,0.00042499800221166894,0.03649453309447534,17,9,0.46296296296296297
68,162,[4],89,CNN,a,0.00015910639912134007,0.33617157219894256,31,10,0.48235294117647065
69,195,[3],43,CNN,a,0.00010792882973297243,0.2699043531177831,27,9,0.5
70,186,"[3, 8, 5]",47,CNN,a,0.00030691463171755444,0.08641437123415147,34,8,0.4901960784313726
71,172,[4],52,CNN,a,0.0002798673258100773,0.23956931918704022,21,6,0.5014245014245013
72,177,[4],54,CNN,a,0.0006585893376367369,0.2565460067941366,37,6,0.4856230031948882
73,171,[4],62,CNN,a,0.0001909259932337797,0.24609101311537762,22,6,0.4915254237288136
74,155,[5],58,CNN,a,0.0005052262861652971,0.0004696636902485063,20,7,0.3770491803278689
75,138,[3],39,CNN,a,0.0009425652611662105,0.1927258191564363,25,6,0.483695652173913
76,166,"[4, 2]",52,CNN,a,0.00040271962662567307,0.05149059302916842,16,5,0.5259515570934257
77,82,"[2, 2]",51,CNN,a,0.00042564220429886933,0.023711055149542,9,5,0.5066666666666667
78,147,"[4, 2]",67,CNN,a,0.0002274904473676757,0.05026613743589172,14,5,0.49557522123893805
79,165,"[5, 2, 7]",44,CNN,a,0.00013137610362954955,0.017204985995646824,16,10,0.46048109965635736
80,131,"[3, 3]",57,CNN,a,0.00036428585580702106,0.12164817077240705,18,5,0.5150501672240803
81,128,"[3, 3]",56,CNN,a,0.0003525312483987109,0.06645040719761403,17,5,0.4742857142857143
82,118,"[3, 3]",64,CNN,a,0.0002530636085101766,0.1313047530483428,19,5,0.47023809523809523
83,161,"[3, 4, 3]",48,CNN,a,0.0005628080563693201,0.1091930061375783,13,5,0.5249169435215947
84,159,"[3, 4, 3]",47,CNN,a,0.000734955409061309,0.09906890259422049,12,5,0.4674329501915709
85,132,"[2, 3, 2]",40,CNN,a,0.0005683409443273709,0.11192336972430052,9,5,0.46037735849056605
86,177,"[3, 4, 3]",34,CNN,a,0.0005139563187241394,0.08285169225669486,15,5,0.47549019607843135
87,142,"[3, 2, 4, 3]",60,CNN,a,7.889022223322424e-06,0.06271200225827438,12,9,0.27802690582959644
88,158,"[2, 3, 2]",50,CNN,a,0.0003964257891923878,0.04155789525428433,13,10,0.5033557046979866
89,146,"[3, 4]",70,CNN,a,0.00018558925860309085,0.14836902108551916,17,5,0.5082872928176796
90,58,"[7, 3]",73,CNN,a,4.966856446601886e-06,0.07754798784511552,6,10,0.35693215339233036
91,168,[4],57,CNN,a,0.0002857761290865144,0.21970701280363206,20,5,0.4742268041237113
92,184,[3],45,CNN,a,0.00033562985187257264,0.019297627139483926,22,5,0.5192307692307692
