trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
169,75,LSTM,b,0.0009959439897592418,0.24727370578353716,50,8,0.6520307354555434
170,19,LSTM,b,3.8285622414872834e-06,0.22493066372245557,47,8,0.3699231613611416
171,77,LSTM,b,0.0007276241731043619,0.13743696990246243,43,8,0.6509330406147091
172,71,LSTM,b,0.000679204468361472,0.2324979639710589,48,8,0.610318331503842
173,43,LSTM,b,0.0008404936114324312,0.2582069087513273,46,8,0.6948408342480791
174,80,LSTM,b,0.00052190254946469,0.49720349615701115,39,6,0.37102085620197583
175,72,LSTM,b,3.277157144891766e-05,0.29752728304178044,44,8,0.6300768386388584
176,52,LSTM,b,0.0005747834359043391,0.21564435957654232,36,6,0.7222832052689352
177,82,LSTM,b,0.00048555331742967814,0.21481802094689273,34,6,0.5477497255762898
178,49,LSTM,b,0.0004315595390497579,0.3515292290753537,36,9,0.6739846322722283
179,57,LSTM,b,0.000805721612507542,0.20653295019615348,36,6,0.7003293084522503
180,53,LSTM,b,0.0005429005309470136,0.1510232533437538,38,6,0.6937431394072447
181,74,LSTM,b,0.0006686186719090848,0.22894243280382545,39,8,0.6619099890230515
182,36,LSTM,b,0.0006516864454396845,0.24495700665446046,21,8,0.6904500548847421
183,77,LSTM,b,0.0005870611060930912,0.1849011545350171,40,6,0.6981339187705817
184,79,LSTM,b,0.0007666221633947876,0.2220378119941411,37,8,0.6586169045005489
185,70,LSTM,b,0.0009279017888089454,0.23586898172718265,19,8,0.6882546652030735
186,76,LSTM,b,0.0005750887508322522,0.20106962730900418,12,6,0.725576289791438
187,75,LSTM,b,0.0004974176517484217,0.16956658024869198,13,6,0.6542261251372119
188,78,LSTM,b,0.0004227997874671938,0.19981295529229026,11,6,0.6937431394072447
189,76,LSTM,b,0.0005694694053589329,0.26635933452662713,12,6,0.681668496158068
190,24,LSTM,b,0.00010893297187650849,0.21236099100688519,32,7,0.6300768386388584
191,72,LSTM,b,0.0006950783417587052,0.22532605042434947,14,6,0.7288693743139407
192,74,LSTM,b,0.0007283429027511897,0.1986712210399515,29,6,0.7310647639956093
