trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
149,35,LSTM,a,0.0004199946393396419,0.24428426482333532,17,10,0.5
150,36,LSTM,a,0.0003221803465071129,0.2161886218192004,17,10,0.45549738219895286
151,29,LSTM,a,0.0004333121097884141,0.27376892803004393,15,10,0.4669421487603306
152,24,LSTM,a,0.0005232065444265203,0.2414578238541529,16,10,0.47826086956521735
153,49,LSTM,a,0.00039922467001022346,0.2626099981733174,13,10,0.4607046070460705
154,11,LSTM,a,0.0002301491017159877,0.22798583852309484,18,10,0.36834532374100715
155,42,LSTM,a,0.0002971094113218973,0.2506442831650752,27,10,0.4866468842729971
156,94,LSTM,a,0.0004675846163961927,0.08581155994898723,25,6,0.46794871794871795
157,92,LSTM,a,0.0003372562197646396,0.04990700089134326,22,10,0.4971751412429378
158,92,LSTM,a,0.00033197421960652667,0.04873570258451027,19,10,0.5142857142857142
159,59,LSTM,a,0.00036169347283308715,0.022888085301325578,19,10,0.49376558603491266
160,92,LSTM,a,0.0005956293716835597,0.05218588657524376,19,9,0.4465558194774347
161,89,LSTM,a,0.0003293275682123803,0.07217079818066313,20,10,0.4537313432835821
162,98,LSTM,a,0.00026033587585596533,0.04580090493279407,21,10,0.45777777777777773
163,92,LSTM,a,0.00021696578625246397,0.061583328969974656,22,10,0.44874274661508706
164,96,LSTM,a,0.00018505217763670445,0.011846622722860193,18,10,0.4576271186440678
165,90,LSTM,a,0.0002774243389978207,0.0396068795309366,16,10,0.4420485175202156
166,94,LSTM,a,0.0003470443640094966,0.07649462401360681,34,10,0.4629080118694362
167,99,LSTM,a,0.00040716796784839637,0.08783742390629107,21,10,0.4402985074626866
168,91,LSTM,a,0.0005108816416437625,0.05526153029807198,17,5,0.49864498644986455
169,88,LSTM,a,0.0005501447410954411,0.05134908474973328,20,5,0.46351931330472107
170,96,LSTM,a,0.00048710559108599465,0.02574879879125609,16,5,0.456140350877193
171,91,LSTM,a,0.00016075435936136598,0.06689088967334549,23,5,0.44334975369458124
172,76,LSTM,a,0.0007415409458346778,0.055821576618313044,17,5,0.4342379958246346
173,93,LSTM,a,0.000400427175396529,0.03485239148319419,14,10,0.489247311827957
174,95,LSTM,a,0.00029318030341700277,0.07108683938597767,18,10,0.4751958224543081
175,92,LSTM,a,0.00024371901895887062,0.04778958420150586,36,7,0.4166666666666667
176,85,LSTM,a,3.205388598436909e-05,0.08120968427499939,19,7,0.04477611940298507
177,97,LSTM,a,0.00032681000326529984,0.23640939968474045,33,10,0.4471299093655589
178,88,LSTM,a,0.00044510168477046347,0.1993272333887315,25,5,0.48299319727891155
179,90,LSTM,a,0.00037077524335813383,0.063403754888796,28,8,0.40764331210191085
180,94,LSTM,a,0.0005275874981455988,0.09291135740820743,31,10,0.4711111111111111
