trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
18,148,"[5, 4, 6]",11,CNN,b,0.00015639744528653457,0.27680465397409687,23,9,0.6783754116355654
19,81,"[7, 6, 3, 2]",35,CNN,b,2.7598401151642014e-05,0.07649507943499008,42,7,0.677277716794731
20,104,"[3, 2, 6, 4, 4]",51,CNN,b,0.00044690861094013256,0.20837953709712456,30,10,0.681668496158068
21,33,"[3, 2, 3, 4, 6]",10,CNN,b,0.0006887748452912492,0.2844702158153115,26,9,0.6761800219538968
22,30,"[4, 2, 3, 3, 6]",10,CNN,b,0.0005128398057907471,0.30277136472375044,34,8,0.7014270032930845
23,10,"[3, 3, 2, 5]",18,CNN,b,0.0009869803350180623,0.31354146837015023,28,9,0.6904500548847421
24,66,"[6, 2, 4, 3, 8, 2]",32,CNN,b,0.00018756443114195998,0.22506164529625364,22,8,0.6915477497255763
25,45,"[2, 4, 3, 4, 5]",26,CNN,b,0.0003821100210911787,0.15448505469636659,37,10,0.7003293084522503
26,24,"[5, 3, 2, 5]",15,CNN,b,0.0005837910143127252,0.17862838995486685,25,9,0.6849615806805708
27,48,"[4, 2, 4, 3, 7, 5]",22,CNN,b,1.237779629596286e-06,0.09723514134726396,5,9,0.6158068057080132
28,22,"[8, 3, 7]",16,CNN,b,0.0001102577095604947,0.26036480177419624,28,8,0.6739846322722283
29,48,"[6, 4, 3, 5, 4]",43,CNN,b,0.0005693562438156981,0.3188025918730489,19,8,0.7200878155872668
30,67,"[6, 4, 2, 7, 3]",40,CNN,b,4.559868856974852e-05,0.4655661163964624,16,6,0.6871569703622393
31,42,"[7, 3, 3, 5, 4]",72,CNN,b,0.0005796970903497165,0.32593998246969647,19,8,0.7058177826564215
32,51,"[5, 5, 3, 4]",31,CNN,b,0.00024575202717288104,0.3289605106218805,23,8,0.7047200878155873
33,77,"[6, 4, 4, 5, 5]",26,CNN,b,0.0006315798535038846,0.43189857888906513,13,9,0.6838638858397366
34,23,"[6, 2, 5, 4, 3, 5]",15,CNN,b,0.0002854969807932461,0.4023567791216639,19,10,0.6706915477497256
35,95,"[4, 3, 2, 3, 4]",53,CNN,b,0.00039294225310921075,0.24859381923872098,8,7,0.703622392974753
36,54,"[7, 3, 6, 5]",24,CNN,b,0.00020500327130119282,0.2913942602607822,29,9,0.6915477497255763
37,70,"[5, 5, 2, 6, 5, 4]",15,CNN,b,0.0008060611361742899,0.3458995575558058,33,7,0.6739846322722283
38,89,[3],32,CNN,b,0.0002803124385766908,0.33623413844086497,13,8,0.6750823271130626
39,117,"[4, 2, 5, 2, 7]",20,CNN,b,0.0004458885187466691,0.4043061177448653,40,10,0.7003293084522503
40,38,"[6, 4, 8, 4]",48,CNN,b,5.50404577018576e-06,0.11154351254708489,16,8,0.6575192096597146
41,39,"[7, 3, 3, 5, 4]",74,CNN,b,0.0006035041863561957,0.32021513319501166,19,8,0.7069154774972558
42,24,"[8, 3, 3, 6, 3]",74,CNN,b,0.0006708924857733898,0.2677376396062887,20,8,0.6761800219538968
43,55,"[7, 3, 3, 5, 4]",97,CNN,b,0.0009717446178271615,0.30481209330623005,25,6,0.7014270032930845
44,42,"[6, 8, 4, 6, 3, 7]",78,CNN,b,0.0003365801631463595,0.3590740864592823,17,9,0.6761800219538968
45,17,"[7, 3]",60,CNN,b,1.4674719900306499e-05,0.3924042765050788,48,8,0.6937431394072447
46,61,"[5, 2, 2, 5]",92,CNN,b,0.00013000191764183603,0.22810521909205364,24,9,0.6827661909989023
47,28,"[8, 4, 3, 5, 5]",59,CNN,b,0.0007181119590723811,0.0043614578864384634,21,8,0.6652030735455543
48,35,"[5, 2, 7, 6, 2, 2]",83,CNN,b,0.00044694017714753975,0.4253227444713925,11,9,0.6750823271130626
49,10,"[7, 3, 5, 7]",44,CNN,b,0.00021543237639589326,0.04945539238504547,15,7,0.6750823271130626
50,176,"[4, 4, 2]",65,CNN,b,0.0007729695249513959,0.23054774877005602,31,9,0.6838638858397366
51,45,"[7, 3, 3, 5, 4]",70,CNN,b,0.000577186857939522,0.3188888228633118,18,8,0.7156970362239298
52,72,"[7, 3, 4, 5, 4]",70,CNN,b,0.0005178350888979573,0.36618761882529943,18,8,0.6893523600439078
53,58,"[8, 2, 3, 6, 5]",78,CNN,b,0.0003275459354323231,0.31774916536952563,27,7,0.6981339187705817
54,18,"[7, 4, 3, 4, 4]",69,CNN,b,0.0008197783476469611,0.28743862607048876,21,9,0.6673984632272228
55,32,"[6, 3, 4, 5, 3]",77,CNN,b,0.0005796875948833141,0.19187898020564023,36,8,0.6915477497255763
56,48,"[2, 6, 6, 4, 6, 6]",13,CNN,b,0.00096762141865595,0.35373443132018306,23,10,0.6882546652030735
57,88,"[5, 2, 3, 3]",83,CNN,b,0.0001701110218032382,0.3830844445026658,44,8,0.6904500548847421
